"","PLOT","STAND","N.MIN","N.INORG","SPEC.TOTAL.C","SPEC.TOTAL.N","SOIL.CN","LON","LAT","SOIL.PH"
"55","Plot_7","Stand_6",0.301916377609798,0.853733738929033,22.259,1.4864,14.9751076426265,-85.6685808891044,44.2194918040552,5.09
"56","Plot_8","Stand_6",0.493485951678839,2.14724934719088,18.7675,1.1805,15.8979246082169,-85.6684613470306,44.219528093643,4.63
"57","Plot_9","Stand_6",0.569517874834372,3.54522117022975,26.105,1.7736,14.718651330627,-85.6685084787153,44.2194415643411,5.13
"59","Plot_11","Stand_6",0.359082013456549,1.33004794113359,20.164,1.36395,14.7835331207156,-85.6687205048567,44.2193778438257,5.07
"60","Plot_12","Stand_6",0.409782280256547,1.85531697977425,24.0835,1.63205,14.7565944670813,-85.6687258692043,44.2195211695689,5.05
"61","Plot_13","Stand_7",0.379723359154099,2.05776394031692,17.233,0.9475,18.1878627968338,-85.6772355217969,44.1928531239492,4.11
"62","Plot_14","Stand_7",0.514951953602285,1.98046812219802,17.8625,1.0419,17.1441597082254,-85.6770254070547,44.1928833110388,4.22
"63","Plot_15","Stand_7",0.302114266423423,2.0217806033151,15.795,0.9793,16.1288675584601,-85.6771172680719,44.1927453077687,4.26
"64","Plot_16","Stand_7",0.434943896093725,2.4806827203522,18.3585,1.12905,16.260130197954,-85.6772219051155,44.1926754038782,4.31
"65","Plot_17","Stand_7",0.375411139986077,1.71027333562783,20.7195,1.285,16.1241245136187,-85.6774085870508,44.1927003641932,4.31
"66","Plot_18","Stand_7",0.453825257512085,2.53646683870919,16.2745,1.01585,16.0205739036275,-85.6772946824047,44.192811933448,4.35
"68","Plot_20","Stand_9",0.606846579479059,3.89929561582264,26.3455,1.2465,21.1355796229442,-85.9769797089893,44.320560369455,4.72
"69","Plot_21","Stand_9",0.420883923758478,9.51162185056759,20.8615,0.88825,23.4860681114551,-85.9769903513854,44.3204563634144,4.15
"70","Plot_22","Stand_9",0.271598448618544,1.60547248908025,19.7675,0.86295,22.9068891592792,-85.9770741813244,44.3203579637314,4.11
"72","Plot_24","Stand_9",0.41446796535909,3.80100238382165,20.008,1.01555,19.7016395056866,-85.9772286760469,44.3205342247462,4.48
"13","Plot_31","Stand_22",1.19133783519917,11.2918457172754,67.208,5.22205,12.8700414588141,-85.7071371133463,44.3710486413319,6.34
"16","Plot_34","Stand_22",0.734148560041353,4.34692326596824,32.4145,2.5156,12.8853951343616,-85.7070610334297,44.3708290211991,5.8
"17","Plot_35","Stand_22",0.826295175438292,7.48355521056179,47.8,3.83845,12.4529432453204,-85.7072017454069,44.3708822314791,5.69
"18","Plot_36","Stand_22",0.679531610388824,6.22466928329812,40.92,3.4608,11.8238557558946,-85.7071912365503,44.3709611121862,5.63
"19","Plot_37","Stand_24",0.737283148371117,6.87914367780578,25.455,1.75695,14.4881755314608,-85.7534937836243,44.2225534718397,4.79
"20","Plot_38","Stand_24",0.934379880058376,7.20039690828062,23.5935,1.63635,14.4183701530846,-85.7534203588949,44.2225294090411,4.75
"21","Plot_39","Stand_24",0.469516312037146,3.78975263892026,19.299,1.34615,14.3364409612599,-85.7534216098086,44.2224540364351,4.96
"22","Plot_40","Stand_24",0.526743726671015,3.62030266005162,27.431,1.642,16.7058465286236,-85.7534749824784,44.2223854129066,5.29
"23","Plot_41","Stand_24",0.433278261580874,3.86520078623061,23.8185,1.6466,14.4652617514879,-85.7535284927773,44.222485541216,5.65
"24","Plot_42","Stand_24",0.604500653132952,4.7111871589897,23.346,1.70635,13.6818354968207,-85.7535348068484,44.2225231298243,5.28
"38","Plot_50","Stand_41",0.4787754932857,2.14150990332435,17.291,1.02025,16.9478069100711,-85.4817337196863,44.3467869268529,4.06
"40","Plot_52","Stand_41",0.633862260347374,2.38564915480793,9.88995,0.62905,15.7220411731977,-85.4818062963284,44.3465913383101,4.24
"41","Plot_53","Stand_41",0.381200910547436,2.12454194463222,11.3205,0.6984,16.2091924398625,-85.4819706578089,44.3466438502334,3.87
"42","Plot_54","Stand_41",0.683130796332273,3.47876923079561,14.3345,0.9371,15.2966599082275,-85.4819545490126,44.3467693454099,4.29
"50","Plot_62","Stand_58",0.281338432642036,0.903204082331451,14.7005,0.73105,20.1087476916764,-85.8965382547006,44.3101312575959,4.37
"52","Plot_64","Stand_58",0.333668137650063,2.51937124413534,16.9115,0.8013,21.1050792462249,-85.8965833333333,44.3100199051801,4.44
"53","Plot_65","Stand_58",0.314205134617468,0.582522807649419,15.973,0.75175,21.2477552377785,-85.8966571417229,44.3100694019552,4.61
"54","Plot_66","Stand_58",0.290673475311956,2.60086394925553,13.828,0.67145,20.5942363541589,-85.8967417404965,44.3101413987506,4.31
"1","Plot_67","Stand_100",0.52663202740647,2.8609385435887,17.4225,1.12145,15.5356904008204,-85.4841108395657,44.3469688282198,4.4
"2","Plot_68","Stand_100",0.764735075174005,2.54009148718195,19.0705,1.2532,15.2174433450367,-85.4839584410225,44.3469585340645,4.23
"3","Plot_69","Stand_100",1.02724844860375,3.59772916913409,20.309,1.45015,14.0047581284695,-85.4840245667925,44.3468704406433,4.44
"4","Plot_70","Stand_100",0.860503216399495,4.35751722626281,25.705,1.87875,13.6819693945442,-85.4840333403463,44.3467729235152,4.74
"5","Plot_71","Stand_100",0.66473425504664,3.48915430818146,27.6215,1.71265,16.1279304002569,-85.4842290405255,44.3467986642052,5.18
"6","Plot_72","Stand_100",0.563584106063717,2.77005346004483,22.831,1.71405,13.3199148216213,-85.4842682558292,44.3469538897392,5.38
